Class,Violet,Blue,Green,Yellow,Orange,Red
Matang,54,48,64,88,43,53
Matang,54,48,64,88,43,52
Matang,54,47,69,91,45,52
Matang,45,41,59,78,36,46
Matang,44,41,59,77,36,46
Matang,44,40,58,77,35,44
Matang,39,43,50,75,33,50
Matang,39,43,51,75,34,50
Matang,39,43,51,75,33,49
Matang,36,47,59,85,43,54
Matang,36,47,59,84,43,53
Matang,36,47,59,84,43,53
Matang,26,38,52,74,36,34
Matang,26,38,52,74,36,34
Matang,26,39,55,76,38,34
Matang,47,44,71,92,53,46
Matang,47,44,71,92,53,46
Matang,47,44,70,92,53,46
Matang,51,44,54,75,34,44
Matang,51,44,54,75,34,44
Matang,51,44,54,75,34,43
Matang,43,38,63,78,39,38
Matang,43,38,62,77,38,37
Matang,42,37,62,76,38,36
Matang,34,38,57,75,39,36
Matang,34,38,57,75,39,36
Matang,34,38,58,75,39,35
Matang,49,47,53,81,35,47
Matang,49,47,53,81,35,46
Matang,49,47,53,81,35,46
Matang,37,41,51,72,32,44
Matang,43,42,55,78,35,47
Matang,43,42,56,78,35,47
Matang,54,44,63,83,41,51
Matang,53,44,63,83,41,50
Matang,53,44,62,83,41,49
Matang,41,38,59,78,36,37
Matang,41,38,59,78,36,37
Matang,41,36,67,79,42,36
Matang,44,42,62,83,41,54
Matang,44,42,62,83,41,54
Matang,45,42,62,83,41,53
Matang,38,48,68,95,46,47
Matang,40,47,71,96,49,46
Matang,40,47,71,96,49,46
Matang,50,51,58,89,38,54
Matang,50,51,59,89,38,54
Matang,50,51,59,89,38,53
Matang,52,42,61,81,41,46
Matang,52,42,61,81,42,45
Matang,55,43,61,83,42,46
Matang,32,38,65,83,47,41
Matang,27,37,66,84,46,37
Matang,27,37,66,84,46,36
Matang,44,51,62,90,40,49
Matang,43,51,62,90,40,48
Matang,43,50,61,89,40,46
Matang,57,48,58,84,41,55
Matang,57,48,58,84,41,54
Matang,55,47,57,83,40,52
Matang,54,47,61,83,44,46
Matang,54,47,62,83,44,45
Matang,54,47,62,83,44,45
Matang,53,51,69,94,45,50
Matang,53,51,69,94,45,49
Matang,53,51,69,94,45,49
Matang,39,44,63,83,42,43
Matang,39,44,63,84,42,43
Matang,39,44,63,83,42,42
Matang,43,46,59,84,39,47
Matang,43,46,60,84,39,46
Matang,43,46,60,84,39,45
Matang,49,52,58,88,37,54
Matang,49,52,58,89,37,54
Matang,49,52,58,88,37,53
Matang,44,45,64,86,44,48
Matang,44,44,64,85,44,48
Matang,44,44,64,85,44,47
Matang,48,46,56,79,37,49
Matang,47,45,56,79,37,48
Matang,47,45,55,79,37,47
Matang,49,46,55,79,37,50
Matang,49,46,56,79,37,50
Matang,48,45,56,79,37,49
Matang,46,42,61,80,39,46
Matang,46,42,61,80,40,45
Matang,46,42,61,80,39,44
Matang,49,48,52,84,35,51
Matang,50,48,54,85,35,51
Matang,50,48,54,85,35,50
Mentah,47,39,43,63,27,43
Mentah,46,39,43,62,27,42
Mentah,42,36,48,66,30,38
Mentah,50,36,52,69,33,38
Mentah,48,36,51,68,33,37
Mentah,44,35,50,66,32,34
Mentah,40,36,48,68,34,37
Mentah,40,36,48,68,34,36
Mentah,40,36,48,68,34,36
Mentah,44,39,48,66,32,44
Mentah,46,39,49,66,32,44
Mentah,46,39,48,67,32,44
Mentah,37,34,43,59,28,37
Mentah,38,35,45,60,30,38
Mentah,38,35,45,60,29,37
Mentah,38,39,47,69,33,43
Mentah,38,40,47,70,33,43
Mentah,38,39,47,70,34,42
Mentah,42,42,45,68,32,46
Mentah,41,41,45,67,33,44
Mentah,40,40,45,66,33,43
Mentah,42,39,52,71,35,39
Mentah,43,40,52,72,35,40
Mentah,40,41,46,63,28,37
Mentah,46,45,58,76,37,46
Mentah,47,45,58,77,37,46
Mentah,46,45,58,77,37,45
Mentah,45,43,54,75,38,43
Mentah,45,43,54,75,38,42
Mentah,44,43,54,75,38,41
Mentah,41,34,44,65,33,36
Mentah,41,34,44,65,33,36
Mentah,41,34,45,65,33,35
Mentah,27,30,41,53,26,30
Mentah,27,30,40,53,26,29
Mentah,27,29,40,53,26,29
Mentah,40,39,64,76,42,43
Mentah,40,39,63,76,42,42
Mentah,40,39,63,75,42,41
Mentah,56,47,53,79,40,55
Mentah,56,46,53,79,39,54
Mentah,55,46,53,79,39,53
Mentah,34,36,48,67,32,40
Mentah,34,36,48,68,32,40
Mentah,34,36,49,68,32,39
Mentah,46,45,48,72,36,52
Mentah,47,47,47,72,35,53
Mentah,48,47,47,72,35,52
Mentah,30,27,36,46,24,30
Mentah,30,27,36,46,24,30
Mentah,30,27,36,46,24,29
Mentah,23,23,33,42,22,26
Mentah,23,23,33,42,22,25
Mentah,23,23,33,42,22,25
Mentah,34,31,42,56,27,29
Mentah,34,31,42,55,28,29
Mentah,34,30,41,54,26,28
Mentah,28,27,36,47,23,33
Mentah,28,27,36,46,23,32
Mentah,27,27,36,46,23,32
Mentah,32,34,43,58,29,31
Mentah,31,34,42,57,27,30
Mentah,31,34,43,58,29,31
Mentah,34,35,39,55,26,39
Mentah,34,35,39,55,25,38
Mentah,33,32,38,52,28,37
Mentah,49,30,35,48,26,35
Mentah,48,30,35,48,26,34
Mentah,48,30,35,48,26,34
Mentah,29,27,34,46,24,29
Mentah,29,27,34,45,24,28
Mentah,29,27,34,46,24,28
Mentah,32,32,39,53,25,33
Mentah,39,30,39,55,26,34
Mentah,39,30,39,55,26,34
Mentah,30,23,33,43,21,26
Mentah,30,23,33,42,21,26
Mentah,30,23,33,42,21,25
Mentah,31,31,34,48,23,33
Mentah,31,31,35,48,23,32
Mentah,30,31,34,48,23,32
Mentah,33,25,39,50,25,25
Mentah,33,25,38,49,25,25
Mentah,33,25,38,50,25,24
Mentah,31,29,37,49,26,28
Mentah,32,30,38,50,27,29
Mentah,32,30,38,50,27,28
Mentah,33,33,44,62,30,33
Mentah,33,33,44,63,30,32
Mentah,33,33,44,63,30,32
Mentah,34,33,38,58,26,34
Mentah,33,33,37,57,26,33
Mentah,32,32,38,57,26,32
Mentah,38,31,38,52,28,35
Mentah,38,31,38,52,28,35
Mentah,38,31,37,52,28,34
Mentah,43,33,46,57,29,34
Mentah,42,32,45,57,29,33
Mentah,42,32,45,57,29,33
Mentah,37,29,48,57,33,31
Mentah,37,28,47,57,33,30
Mentah,37,28,47,57,33,29
Mentah,29,32,43,54,28,32
Mentah,30,32,43,54,28,31
Mentah,30,32,43,55,28,31
Mentah,43,35,37,57,23,39
Mentah,43,35,37,57,23,38
Mentah,42,35,37,57,23,38
Mentah,34,30,36,49,21,28
Mentah,34,30,36,50,21,27
Mentah,34,30,36,50,21,27
Mentah,28,29,35,49,23,30
Mentah,28,29,35,48,23,29
Mentah,28,29,35,48,23,29
Mentah,26,26,28,39,18,26
Mentah,25,25,27,38,17,25
Mentah,25,25,28,39,18,25
Mentah,29,24,28,38,18,25
Mentah,29,24,28,38,18,25
Mentah,29,24,28,38,18,25
Mentah,39,28,42,53,28,27
Mentah,39,28,43,54,28,26
Mentah,39,28,42,53,28,25
Mentah,26,32,29,46,20,31
Mentah,25,32,31,45,21,29
Mentah,25,31,30,44,21,28
Mentah,47,33,42,59,26,34
Mentah,46,33,42,59,26,33
Mentah,46,33,41,59,26,32
Mentah,35,24,42,49,28,24
Mentah,34,23,40,47,26,23
Mentah,46,27,39,50,27,29
Mentah,34,38,45,63,28,35
Mentah,34,38,45,63,29,35
Mentah,34,37,45,63,28,34
Mentah,51,36,47,62,30,41
Mentah,51,33,47,62,30,40
Mentah,51,32,47,62,30,39
Mentah,42,36,45,65,32,44
Mentah,41,37,46,66,32,43
Mentah,41,36,45,65,32,42
Mentah,40,36,47,62,31,40
Mentah,39,36,46,61,30,39
Mentah,39,36,48,63,32,39
Mentah,50,40,44,56,27,34
Mentah,49,39,45,57,28,34
Mentah,49,39,46,57,28,33
Mentah,41,33,47,62,34,33
Mentah,41,33,47,62,34,33
Mentah,41,32,47,62,33,31
Mentah,35,32,52,64,34,35
Mentah,35,31,51,63,33,34
Mentah,34,31,50,62,32,33
Mentah,27,26,44,51,29,26
Mentah,27,26,40,47,27,25
Mentah,27,26,43,51,29,26
Mentah,31,29,36,48,22,30
Mentah,31,29,36,48,23,29
Mentah,31,29,36,48,22,29
Mentah,27,28,34,46,21,26
Mentah,27,26,34,46,21,26
Mentah,27,25,34,46,21,25
Mentah,27,25,34,46,21,25
Mentah,35,26,35,45,23,29
Mentah,35,26,35,45,23,29
Mentah,27,25,33,43,21,28
Mentah,26,24,33,43,20,27
Mentah,26,24,33,43,21,27
Mentah,34,26,36,48,24,30
Mentah,34,26,36,48,24,30
Mentah,34,25,36,48,24,29
Mentah,39,32,37,55,23,28
Mentah,39,32,37,56,23,28
Mentah,40,33,37,56,23,28
Mentah,30,27,42,56,26,23
Mentah,29,27,42,55,26,23
Mentah,29,27,42,56,26,23
